#Document title: Votes
#Rows: 37, Columns: 33
#Legislative period: 2013-2014
#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.50plus;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 1, partij;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;indiener 2, partij;titel document volgens stemming
senate;2013-2014;4;2013-10-15;33427;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33427;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-4-3.1.4.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-4-3?view=html#nl.proc.ob.d.h-ek-20132014-4-3.1.4.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-4-3.html;aye;aye;aye;aye;aye;aye;aye;aye;no;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenover het wetsvoorstel Wijziging van enige wetten in verband met de handhaving van voorschriften in de Engelse taal (33427)
senate;2013-2014;4;2013-10-15;;;unknown;not-available;transformer-problem;https://zoek.officielebekendmakingen.nl/dossier/;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-4-4.1.8.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-4-4?view=html#nl.proc.ob.d.h-ek-20132014-4-4.1.8.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-4-4.html;;;;;;;;;;;;;;;;;;;Aan de orde zijn de stemmingenin verband met de brief van de vaste commissies voor Immigratie en Asiel/JBZ-Raad (I&A/JBZ) en voor Veiligheid en Justitie (V&J) aan de Voorzitter van de Eerste Kamer met een conceptbrief van de Eerste Kamer aan de Voorzitter van de Europese Commissie inzake gemotiveerd advies (subsidiariteit) betreffende het EU-voorstel: Verordening oprichting Europees openbaar ministerie COM (2013)534 (33709, letter B).
senate;2013-2014;5;2013-10-29;33750;H;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5.1.6.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5?view=html#nl.proc.ob.d.h-ek-20132014-5-5.1.6.27.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-5-5.html;aye;no;no;no;aye;aye;no;aye;no;no;aye;no;Koffeman;nl.m.03157;nl.p.pvdd;;;;de motie-Koffeman c.s. om bij de Amerikaanse regering bezwaar te maken tegen het aftappen van telefoongesprekken van burgers en regeringsleiders ( 33750, letter H).
senate;2013-2014;5;2013-10-29;33750;G;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5.1.6.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5?view=html#nl.proc.ob.d.h-ek-20132014-5-5.1.6.24.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-5-5.html;aye;aye;aye;aye;aye;aye;aye;aye;no;no;aye;no;Kox;nl.m.03001;nl.p.sp;;;;de motie-Kox c.s. over het garanderen van de toegang tot rechter en rechtshulp ( 33750, letter G),
senate;2013-2014;5;2013-10-29;33750;F;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5.1.6.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5?view=html#nl.proc.ob.d.h-ek-20132014-5-5.1.6.21.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-5-5.html;aye;aye;aye;no;aye;no;aye;aye;no;no;aye;no;Barth;nl.m.02208;nl.p.pvda;;;;de motie-Barth c.s. over het uitwerken van demografische ontwikkelingen van de komende twintig jaar voor een evenwichtige verdeling van welvaart en welzijn over het hele land ( 33750, letter F),
senate;2013-2014;5;2013-10-29;33750;E;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5.1.6.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5?view=html#nl.proc.ob.d.h-ek-20132014-5-5.1.6.18.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-5-5.html;aye;aye;aye;aye;aye;no;aye;aye;no;aye;aye;aye;Barth;nl.m.02208;nl.p.pvda;;;;de motie-Barth c.s. over gerichte voorstellen waarbij de vrijheid en veiligheid van burgers in de virtuele wereld dezelfde bescherming wordt geboden als in de fysieke wereld ( 33750, letter E),
senate;2013-2014;5;2013-10-29;33750;D;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5.1.6.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5?view=html#nl.proc.ob.d.h-ek-20132014-5-5.1.6.15.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-5-5.html;aye;aye;no;aye;no;no;no;no;aye;aye;no;no;Brinkman;nl.m.02748;nl.p.cda;;;;de motie-Brinkman c.s. om de lasten in 2014 niet verder te verhogen ( 33750, letter D),
senate;2013-2014;5;2013-10-29;33750;C;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5.1.6.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5?view=html#nl.proc.ob.d.h-ek-20132014-5-5.1.6.12.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-5-5.html;no;no;no;no;no;no;no;no;aye;no;no;no;Marcel de Graaff;nl.m.03293;nl.p.pvv;;;;de motie-Marcel de Graaff c.s. over het opzeggen van verdragen ( 33750, letter C),
senate;2013-2014;5;2013-10-29;33750;B;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5.1.6.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5?view=html#nl.proc.ob.d.h-ek-20132014-5-5.1.6.9.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-5-5.html;aye;no;no;no;no;no;no;aye;aye;no;aye;no;Marcel de Graaff;nl.m.03293;nl.p.pvv;;;;de motie-Marcel de Graaff c.s. over het stopzetten van de plannen met betrekking tot de bezuiniging op de verzorgingshuizen ( 33750, letter B),
senate;2013-2014;5;2013-10-29;33750;A;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5.1.6.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-5-5?view=html#nl.proc.ob.d.h-ek-20132014-5-5.1.6.6.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-5-5.html;no;no;no;no;no;no;no;no;aye;no;no;no;Marcel de Graaff;nl.m.03293;nl.p.pvv;;;;de motie-Marcel de Graaff c.s. over het opzeggen van het Verdrag van Schengen ( 33750, letter A),
senate;2013-2014;6;2013-11-05;33541;;wetsvoorstel;accepted;zonder stemming;https://zoek.officielebekendmakingen.nl/dossier/33541;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-6-11.1.11.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-6-11?view=html#nl.proc.ob.d.h-ek-20132014-6-11.1.11.9.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-6-11.html;;;;;;;;;;;;;;;;;;;het wetsvoorstel Wijziging van de Mediawet 2008 teneinde het stelsel van de landelijke publieke omroep te moderniseren (33541)
senate;2013-2014;7;2013-11-12;33441;G;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/33441;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-5.1.5.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-5?view=html#nl.proc.ob.d.h-ek-20132014-7-5.1.5.9.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-7-5.html;aye;no;aye;aye;aye;aye;no;aye;no;no;aye;no;Koffeman;nl.m.03157;nl.p.pvdd;;;;de motie-Koffeman c.s. over een gunstige staat van instandhouding voor in de Vogelrichtlijn en de Habitatrichtlijn bestreken soorten en habitats ( 33441, letter G).
senate;2013-2014;7;2013-11-12;33441;F;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/33441;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-5.1.5.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-5?view=html#nl.proc.ob.d.h-ek-20132014-7-5.1.5.6.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-7-5.html;aye;no;aye;aye;aye;aye;no;aye;no;no;aye;no;Koffeman;nl.m.03157;nl.p.pvdd;;;;de motie-Koffeman c.s. over het realiseren van de ecologische hoofdstructuur ( 33441, letter F),
senate;2013-2014;7;2013-11-12;33441;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33441;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-5.1.5.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-5?view=html#nl.proc.ob.d.h-ek-20132014-7-5.1.5.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-7-5.html;no;aye;aye;aye;no;no;aye;no;aye;aye;no;aye;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Wijziging van de Wet inrichting landelijk gebied (decentralisatie investeringsbudget) (33441),
senate;2013-2014;7;2013-11-12;33475;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33475;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-6.1.6.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-6?view=html#nl.proc.ob.d.h-ek-20132014-7-6.1.6.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-7-6.html;aye;aye;aye;no;no;aye;aye;aye;aye;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenover het wetsvoorstel Herziening van de Wet arbeid vreemdelingen (33475)
senate;2013-2014;7;2013-11-12;33481;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33481;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-7.1.6.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-7?view=html#nl.proc.ob.d.h-ek-20132014-7-7.1.6.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-7-7.html;aye;aye;aye;aye;aye;aye;aye;aye;no;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenover het wetsvoorstel Wijziging van de Wet op de bedrijfsorganisatie en de Wet financiering sociale verzekeringen in verband met de financiering van de Sociaal-Economische Raad (33481)
senate;2013-2014;7;2013-11-12;33590;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33590;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-9.1.4.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-9?view=html#nl.proc.ob.d.h-ek-20132014-7-9.1.4.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-7-9.html;aye;aye;aye;no;aye;aye;aye;aye;no;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenover het wetsvoorstel Wijziging van de Tabakswet ter verhoging van de minimumleeftijd van 16 jaar naar 18 jaar van personen aan wie tabaksproducten mogen worden verkocht (Verhoging minimumleeftijd verkoop tabaksproducten) (33590)
senate;2013-2014;7;2013-11-12;33467;;unknown;not-available;transformer-problem;https://zoek.officielebekendmakingen.nl/dossier/33467;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-13.1.8.5.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-7-13?view=html#nl.proc.ob.d.h-ek-20132014-7-13.1.8.5.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-7-13.html;;;;;;;;;;;;;;;;;;;het wetsvoorstel Goedkeuring van de op 29 juni 2012 te Tegucigalpa tot stand gekomen Overeenkomst waarbij een associatie tot stand wordt gebracht tussen de Europese Unie en haar lidstaten, enerzijds, en Midden-Amerika, anderzijds (Trb. 2012, 163) (33467)
senate;2013-2014;9;2013-11-19;33032;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33032;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-7.1.11.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-7?view=html#nl.proc.ob.d.h-ek-20132014-9-7.1.11.7.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-7.html;aye;;no;aye;aye;aye;aye;aye;aye;no;aye;aye;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Wijziging van Boek 1 van het Burgerlijk Wetboek in verband met het juridisch ouderschap van de vrouwelijke partner van de moeder anders dan door adoptie (33032) en het wetsvoorstel Wijziging van de Rijkswet op het Nederlanderschap in verband met de wijziging van Boek 1 van het Nederlandse Burgerlijk Wetboek betreffende het ontstaan van het juridisch ouderschap van de vrouwelijke partner van de moeder anders dan door adoptie (33514(R1998)),
senate;2013-2014;9;2013-11-19;In stemming komt wetsvoorstel          33032.;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/In stemming komt wetsvoorstel          33032.;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-7.1.11.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-7?view=html#nl.proc.ob.d.h-ek-20132014-9-7.1.11.4.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-7.html;aye;;no;aye;aye;aye;aye;aye;aye;no;aye;aye;;;;;;;
senate;2013-2014;9;2013-11-19;In stemming komt wetsvoorstel          33591.;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/In stemming komt wetsvoorstel          33591.;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-6.1.11.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-6?view=html#nl.proc.ob.d.h-ek-20132014-9-6.1.11.6.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-6.html;aye;aye;aye;aye;no;no;aye;no;no;aye;no;aye;;;;;;;
senate;2013-2014;9;2013-11-19;In stemming komt wetsvoorstel          33467.;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/In stemming komt wetsvoorstel          33467.;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-6.1.11.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-6?view=html#nl.proc.ob.d.h-ek-20132014-9-6.1.11.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-6.html;aye;aye;aye;aye;no;no;aye;no;no;aye;no;aye;;;;;;;
senate;2013-2014;9;2013-11-19;33293;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33293;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-5.1.11.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-5?view=html#nl.proc.ob.d.h-ek-20132014-9-5.1.11.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-5.html;aye;aye;no;aye;no;aye;aye;no;aye;aye;no;aye;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Wijziging van de Vreemdelingenwet 2000 in verband met het herschikken van de gronden voor asielverlening (33293),
senate;2013-2014;9;2013-11-19;33293, letter G;;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33293, letter G;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-5.1.10.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-5?view=html#nl.proc.ob.d.h-ek-20132014-9-5.1.10.4.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-5.html;aye;aye;aye;aye;aye;aye;aye;aye;no;aye;aye;aye;Strik;nl.m.02338;nl.p.gl;;;;motie-Strik c.s. ( 33293, letter G, was letter E)
senate;2013-2014;9;2013-11-19;33501;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33501;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-8.1.4.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-8?view=html#nl.proc.ob.d.h-ek-20132014-9-8.1.4.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-8.html;aye;no;aye;aye;aye;no;aye;aye;aye;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenover het wetsvoorstel Wijziging van de Postwet 2009 ter invoering van ex ante toezicht op een postvervoerbedrijf met aanmerkelijke marktmacht (33501)
senate;2013-2014;10;2013-11-26;33253;F;wetsvoorstel;accepted;ingetrokken;https://zoek.officielebekendmakingen.nl/dossier/33253;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-7.1.5.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-7?view=html#nl.proc.ob.d.h-ek-20132014-10-7.1.5.9.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-7.html;;;;;;;;;;;;;Ter Horst;nl.m.03152;nl.p.pvda;;;;de motie-Ter Horst c.s. inzake maatregelen tot reductie van de regeldruk in de gezondheidszorg ( 33253, letter F).
senate;2013-2014;10;2013-11-26;33498;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33498;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-5.1.5.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-5?view=html#nl.proc.ob.d.h-ek-20132014-10-5.1.5.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-5.html;aye;aye;aye;aye;no;no;aye;no;no;aye;no;aye;;;;;;;Aan de orde zijn de stemmingenover het wetsvoorstel Wijziging van het Wetboek van Strafrecht, het Wetboek van Strafvordering en enige andere wetten in verband met de invoering van een adolescentenstrafrecht (33498)
